4.13E-05,3.93E-05,2.10E-05,0.000327753
3.02E-05,8.82E-06,8.12E-06,0.000139531
2.12E-05,4.22E-05,9.63E-06,2.80E-05
2.08E-05,9.20E-06,1.50E-05,9.59E-05
1.73E-05,0.000166234,3.98E-06,7.36E-05
1.43E-05,1.72E-05,3.90E-06,6.84E-05
1.39E-05,2.70E-05,3.04E-06,5.97E-05
1.57E-05,1.44E-05,2.57E-06,5.75E-05
1.59E-05,2.59E-06,2.99E-06,2.97E-05
1.50E-05,2.98E-05,4.27E-06,1.81E-05
1.48E-05,2.89E-06,3.72E-06,8.30E-05
1.15E-05,3.78E-05,2.74E-06,0.000149478
1.13E-05,2.60E-05,3.18E-06,4.19E-05
1.28E-05,5.26E-06,4.67E-06,0.000148419
1.15E-05,3.96E-06,5.49E-06,8.56E-05
1.15E-05,8.00E-06,5.73E-06,3.05E-05
1.17E-05,1.78E-06,5.76E-06,3.01E-05
1.14E-05,1.04E-05,5.91E-06,6.87E-06
1.13E-05,1.32E-06,5.56E-06,9.53E-05
1.01E-05,1.39E-05,5.24E-06,2.48E-05
9.97E-06,1.33E-05,4.73E-06,1.15E-05
1.13E-05,2.26E-06,3.75E-06,0.000121499
1.02E-05,1.25E-06,3.33E-06,9.34E-06
8.38E-06,9.71E-07,3.48E-06,1.47E-05
6.80E-06,3.72E-06,3.27E-06,4.55E-06
6.53E-06,2.49E-06,3.06E-06,6.75E-05
6.40E-06,2.65E-05,2.80E-06,2.15E-05
6.41E-06,9.67E-07,2.52E-06,8.86E-06
6.39E-06,1.22E-06,2.28E-06,5.48E-06
5.98E-06,3.38E-06,2.06E-06,3.68E-05
5.90E-06,1.03E-06,1.93E-06,4.38E-06
5.79E-06,1.19E-06,1.86E-06,8.78E-05
5.67E-06,2.00E-05,1.81E-06,9.01E-06
5.90E-06,5.30E-06,1.76E-06,7.35E-05
5.95E-06,1.59E-06,1.71E-06,0.000177303
5.96E-06,6.89E-06,1.71E-06,3.17E-06
5.89E-06,3.50E-06,1.70E-06,1.15E-05
5.98E-06,7.04E-06,1.68E-06,3.24E-05
7.31E-06,3.28E-06,1.65E-06,2.39E-05
6.49E-06,1.03E-05,1.64E-06,1.40E-05
8.25E-06,7.46E-06,1.62E-06,3.85E-05
8.40E-06,2.76E-06,1.53E-06,3.44E-05
8.64E-06,1.77E-06,1.43E-06,3.59E-05
9.41E-06,3.61E-06,1.35E-06,5.06E-05
9.38E-06,2.39E-06,1.43E-06,3.80E-05
9.42E-06,1.59E-06,1.31E-06,1.54E-05
9.74E-06,1.52E-06,1.25E-06,2.81E-05
9.33E-06,2.15E-06,1.38E-06,3.00E-05
9.71E-06,1.17E-06,1.36E-06,3.47E-06
9.45E-06,1.30E-06,1.33E-06,1.90E-05
8.95E-06,1.13E-06,1.21E-06,2.19E-05
8.70E-06,1.30E-06,1.25E-06,2.30E-05
8.55E-06,1.29E-06,1.21E-06,6.59E-06
8.26E-06,1.22E-06,1.20E-06,1.55E-06
8.00E-06,1.23E-06,1.23E-06,1.68E-05
7.80E-06,1.17E-06,1.11E-06,1.28E-05
7.90E-06,1.24E-06,1.21E-06,2.06E-05
7.60E-06,1.17E-06,1.13E-06,2.04E-05
7.44E-06,1.84E-06,1.21E-06,8.28E-06
7.26E-06,1.49E-06,1.21E-06,1.30E-05
7.08E-06,1.40E-06,1.17E-06,1.45E-05
6.88E-06,1.89E-06,1.16E-06,4.58E-06
6.76E-06,1.56E-06,1.12E-06,6.86E-06
6.64E-06,2.14E-06,1.06E-06,4.57E-06
6.61E-06,1.56E-06,1.07E-06,7.81E-06
6.53E-06,1.47E-06,1.13E-06,8.00E-06
6.34E-06,1.54E-06,1.13E-06,4.11E-06
6.35E-06,1.24E-06,1.12E-06,1.75E-06
6.11E-06,1.24E-06,1.17E-06,1.86E-06
5.72E-06,4.47E-06,1.13E-06,1.66E-06
4.99E-06,4.12E-06,1.22E-06,1.58E-06
4.63E-06,5.63E-06,1.27E-06,1.99E-06
4.39E-06,5.44E-06,1.30E-06,3.23E-06
4.28E-06,4.92E-06,1.27E-06,2.74E-06
4.19E-06,4.72E-06,1.33E-06,2.79E-06
4.06E-06,4.51E-06,1.32E-06,3.06E-06
4.00E-06,4.56E-06,1.35E-06,2.40E-06
3.87E-06,4.11E-06,1.30E-06,1.26E-06
3.83E-06,3.68E-06,1.35E-06,1.14E-06
3.76E-06,3.68E-06,1.32E-06,2.14E-06
3.69E-06,3.56E-06,1.38E-06,1.71E-06
3.66E-06,3.49E-06,1.31E-06,1.70E-06
3.47E-06,3.39E-06,1.38E-06,1.94E-06
3.39E-06,3.19E-06,1.35E-06,1.42E-06
3.39E-06,2.65E-06,1.34E-06,1.36E-06
3.28E-06,3.34E-06,1.45E-06,1.46E-06
3.23E-06,3.16E-06,1.44E-06,1.27E-06
3.19E-06,2.08E-06,1.37E-06,9.85E-07
3.11E-06,1.04E-06,1.41E-06,7.71E-07
3.05E-06,2.34E-06,1.39E-06,5.30E-07
2.97E-06,1.27E-06,1.42E-06,4.12E-07
2.93E-06,1.20E-06,1.36E-06,0
2.88E-06,1.37E-06,1.51E-06,0
2.84E-06,1.30E-06,1.51E-06,0
2.80E-06,7.09E-07,1.68E-06,0
2.76E-06,6.63E-07,1.60E-06,0
2.72E-06,9.37E-07,1.59E-06,0
2.67E-06,5.43E-07,1.59E-06,0
2.63E-06,5.34E-07,1.52E-06,0
2.60E-06,5.46E-07,1.46E-06,0
